hidden_layer_sizes,activation,learning_rate_init,alpha,max_iter,fitness
"(8,)",tanh,0.036997431803720345,0.07357646681899987,1500,0.8915186664605838
"(8,)",tanh,0.036997431803720345,0.0021464357789925154,1500,0.8884508651366808
"(8,)",tanh,0.03618004453130188,0.07392307778117183,1500,0.8851786672509929
"(8,)",tanh,0.026136499208923015,0.07299944300663538,1500,0.8803920014400314
"(8,)",logistic,0.03948586148501125,0.07357646681899987,1500,0.8791492546202445
"(8,)",tanh,0.016650261969448955,0.07357646681899987,1500,0.8790924305951247
"(8,)",tanh,0.03948586148501125,0.06723937314390942,1000,0.8907369743947708
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.03948586148501125,0.06723937314390942,1500,0.8907369743947708
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.036997431803720345,0.07357646681899987,1500,0.8915186664605838
"(8,)",tanh,0.04295017193797115,0.07357646681899987,1000,0.880506854543226
"(8,)",tanh,0.03948586148501125,0.05912170974818063,1000,0.8918902224307157
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.036997431803720345,0.07357646681899987,1500,0.8915186664605838
"(32, 16)",tanh,0.036997431803720345,0.07357646681899987,1000,0.8782089576718978
"(32, 32)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8780138824798644
"(8,)",tanh,0.03948586148501125,0.13649085858834653,1000,0.8867966298838121
"(8,)",tanh,0.03948586148501125,0.06723937314390942,1500,0.8907369743947708
"(8,)",tanh,0.03948586148501125,0.06723937314390942,1500,0.8907369743947708
"(8,)",tanh,0.03948586148501125,0.6087066420604295,1000,0.8817558444024389
